[subject]	label	tdl_label
dto:DTO_00117478	Nuclear receptor subfamily 0 group b member 1	Tbio
dto:DTO_00117479	Nuclear receptor subfamily 0 group b member 2	Tchem
dto:DTO_00117480	Thyroid hormone receptor alpha	Tclin
dto:DTO_00117481	Thyroid hormone receptor beta	Tclin
dto:DTO_00117482	Retinoic acid receptor alpha	Tclin
dto:DTO_00117483	Retinoic acid receptor beta	Tclin
dto:DTO_00117484	Retinoic acid receptor gamma	Tclin
dto:DTO_00117485	Peroxisome proliferator-activated receptor alpha	Tclin
dto:DTO_00117486	Peroxisome proliferator-activated receptor delta	Tchem
dto:DTO_00117487	Peroxisome proliferator-activated receptor gamma	Tclin
dto:DTO_00117488	Nuclear receptor subfamily 1 group d member 1	Tchem
dto:DTO_00117489	Nuclear receptor subfamily 1 group d member 2	Tchem
dto:DTO_00117490	Nuclear receptor ror-alpha	Tchem
dto:DTO_00117491	Nuclear receptor ror-beta	Tchem
dto:DTO_00117492	Nuclear receptor ror-gamma	Tchem
dto:DTO_00117493	Bile acid receptor	Tclin
dto:DTO_00117494	Oxysterols receptor lxr-alpha	Tchem
dto:DTO_00117495	Oxysterols receptor lxr-beta	Tchem
dto:DTO_00117496	Vitamin d3 receptor	Tclin
dto:DTO_00117497	Nuclear receptor subfamily 1 group i member 2	Tchem
dto:DTO_00117498	Nuclear receptor subfamily 1 group i member 3	Tchem
dto:DTO_00117499	Hepatocyte nuclear factor 4-alpha	Tbio
dto:DTO_00117500	Hepatocyte nuclear factor 4-gamma	Tbio
dto:DTO_00117501	Retinoic acid receptor rxr-alpha	Tclin
dto:DTO_00117502	Retinoic acid receptor rxr-beta	Tclin
dto:DTO_00117503	Retinoic acid receptor rxr-gamma	Tclin
dto:DTO_00117504	Nuclear receptor subfamily 2 group c member 1	Tbio
dto:DTO_00117505	Nuclear receptor subfamily 2 group c member 2	Tchem
dto:DTO_00117506	Nuclear receptor subfamily 2 group e member 1	Tbio
dto:DTO_00117507	Photoreceptor-specific nuclear receptor	Tbio
dto:DTO_00117508	Coup transcription factor 1	Tbio
dto:DTO_00117509	Coup transcription factor 2	Tbio
dto:DTO_00117510	Nuclear receptor subfamily 2 group f member 6	Tbio
dto:DTO_00117511	Estrogen receptor	Tclin
dto:DTO_00117512	Estrogen receptor beta	Tclin
dto:DTO_00117513	Steroid hormone receptor err1	Tchem
dto:DTO_00117514	Steroid hormone receptor err2	Tchem
dto:DTO_00117515	Estrogen-related receptor gamma	Tchem
dto:DTO_00117516	Androgen receptor	Tclin
dto:DTO_00117517	Glucocorticoid receptor	Tclin
dto:DTO_00117518	Mineralocorticoid receptor	Tclin
dto:DTO_00117519	Progesterone receptor	Tclin
dto:DTO_00117520	Nuclear receptor subfamily 4 group a member 1	Tchem
dto:DTO_00117521	Nuclear receptor subfamily 4 group a member 2	Tchem
dto:DTO_00117522	Nuclear receptor subfamily 4 group a member 3	Tbio
dto:DTO_00117523	Steroidogenic factor 1	Tchem
dto:DTO_00117524	Nuclear receptor subfamily 5 group a member 2	Tchem
dto:DTO_00117525	Nuclear receptor subfamily 6 group a member 1	Tbio
dto:DTO_01100001	5-hydroxytryptamine receptor 3A	Tclin
dto:DTO_01100002	5-hydroxytryptamine receptor 3B	Tchem
dto:DTO_01100003	5-hydroxytryptamine receptor 3C	Tchem
dto:DTO_01100004	5-hydroxytryptamine receptor 3d	Tchem
dto:DTO_01100005	5-hydroxytryptamine receptor 3e	Tchem
dto:DTO_01100006	Neuronal acetylcholine receptor subunit alpha-10	Tbio
dto:DTO_01100007	Neuronal acetylcholine receptor subunit alpha-2	Tchem
dto:DTO_01100008	Neuronal acetylcholine receptor subunit alpha-3	Tclin
dto:DTO_01100009	Neuronal acetylcholine receptor subunit alpha-4	Tclin
dto:DTO_01100010	Neuronal acetylcholine receptor subunit alpha-5	Tbio
dto:DTO_01100011	Neuronal acetylcholine receptor subunit alpha-6	Tchem
dto:DTO_01100012	Neuronal acetylcholine receptor subunit alpha-7	Tchem
dto:DTO_01100013	Neuronal acetylcholine receptor subunit alpha-9	Tbio
dto:DTO_01100014	Acetylcholine receptor subunit alpha	Tclin
dto:DTO_01100015	Neuronal acetylcholine receptor subunit beta-2	Tclin
dto:DTO_01100016	Neuronal acetylcholine receptor subunit beta-3	Tchem
dto:DTO_01100017	Neuronal acetylcholine receptor subunit beta-4	Tclin
dto:DTO_01100018	Acetylcholine receptor subunit beta	Tclin
dto:DTO_01100019	Acetylcholine receptor subunit delta	Tclin
dto:DTO_01100020	Acetylcholine receptor subunit epsilon	Tclin
dto:DTO_01100021	Acetylcholine receptor subunit gamma	Tclin
dto:DTO_01100022	Anoctamin-1	Tclin
dto:DTO_01100023	Anoctamin-2	Tbio
dto:DTO_01100024	Anoctamin-6	Tbio
dto:DTO_01100025	Acid-sensing ion channel 1	Tchem
dto:DTO_01100026	Acid-sensing ion channel 2	Tbio
dto:DTO_01100027	Acid-sensing ion channel 3	Tchem
dto:DTO_01100028	Acid-sensing ion channel 4	Tbio
dto:DTO_01100029	Acid-sensing ion channel 5	Tbio
dto:DTO_01100030	Bestrophin-1	Tbio
dto:DTO_01100031	Bestrophin-2	Tbio
dto:DTO_01100032	Bestrophin-3	Tbio
dto:DTO_01100033	Bestrophin-4	Tbio
dto:DTO_01100034	Voltage-dependent calcium channel subunit alpha-2/delta-1	Tclin
dto:DTO_01100035	Voltage-dependent calcium channel subunit alpha-2/delta-2	Tclin
dto:DTO_01100036	Voltage-dependent calcium channel subunit alpha-2/delta-3	Tbio
dto:DTO_01100037	Voltage-dependent calcium channel subunit alpha-2/delta-4	Tbio
dto:DTO_01100038	Voltage-dependent p/q-type calcium channel subunit alpha-1a	Tchem
dto:DTO_01100039	Voltage-dependent n-type calcium channel subunit alpha-1b	Tclin
dto:DTO_01100040	Voltage-dependent L-type calcium channel subunit alpha-1C	Tclin
dto:DTO_01100041	Voltage-dependent l-type calcium channel subunit alpha-1d	Tclin
dto:DTO_01100042	Voltage-dependent r-type calcium channel subunit alpha-1e	Tbio
dto:DTO_01100043	Voltage-dependent L-type calcium channel subunit alpha-1F	Tchem
dto:DTO_01100044	Voltage-dependent t-type calcium channel subunit alpha-1g	Tclin
dto:DTO_01100045	Voltage-dependent T-type calcium channel subunit alpha-1H	Tclin
dto:DTO_01100046	Voltage-dependent t-type calcium channel subunit alpha-1i	Tclin
dto:DTO_01100047	Voltage-dependent l-type calcium channel subunit alpha-1s	Tchem
dto:DTO_01100048	Voltage-dependent L-type calcium channel subunit beta-1	Tbio
dto:DTO_01100049	Voltage-dependent L-type calcium channel subunit beta-2	Tbio
dto:DTO_01100050	Voltage-dependent l-type calcium channel subunit beta-3	Tbio
dto:DTO_01100051	Voltage-dependent l-type calcium channel subunit beta-4	Tbio
dto:DTO_01100052	Calcium homeostasis modulator protein 1	Tbio
dto:DTO_01100053	Calcium homeostasis modulator protein 2	Tdark
dto:DTO_01100054	Calcium homeostasis modulator protein 3	Tdark
dto:DTO_01100055	Voltage-dependent calcium channel gamma-1 subunit	Tbio
dto:DTO_01100056	Voltage-dependent calcium channel gamma-2 subunit	Tbio
dto:DTO_01100057	Voltage-dependent calcium channel gamma-3 subunit	Tbio
dto:DTO_01100058	Voltage-dependent calcium channel gamma-4 subunit	Tdark
dto:DTO_01100059	Voltage-dependent calcium channel gamma-5 subunit	Tdark
dto:DTO_01100060	Voltage-dependent calcium channel gamma-6 subunit	Tdark
dto:DTO_01100061	Voltage-dependent calcium channel gamma-7 subunit	Tdark
dto:DTO_01100062	Voltage-dependent calcium channel gamma-8 subunit	Tdark
dto:DTO_01100063	Voltage-dependent calcium channel gamma-like subunit	Tbio
dto:DTO_01100064	Cystic fibrosis transmembrane conductance regulator	Tclin
dto:DTO_01100065	Calcium-activated chloride channel regulator 1	Tbio
dto:DTO_01100066	Calcium-activated chloride channel regulator 2	Tbio
dto:DTO_01100067	Calcium-activated chloride channel regulator family member 3	Tdark
dto:DTO_01100068	Calcium-activated chloride channel regulator 4	Tbio
dto:DTO_01100069	Chloride channel CLIC-like protein 1	Tbio
dto:DTO_01100070	Chloride channel protein clc-ka	Tbio
dto:DTO_01100071	Chloride channel protein clc-kb	Tbio
dto:DTO_01100072	Chloride channel protein 1	Tbio
dto:DTO_01100073	Chloride channel protein 2	Tclin
dto:DTO_01100074	H(+)/Cl(-) exchange transporter 3	Tbio
dto:DTO_01100075	H(+)/cl(-) exchange transporter 4	Tbio
dto:DTO_01100076	H(+)/cl(-) exchange transporter 5	Tbio
dto:DTO_01100077	Chloride transport protein 6	Tbio
dto:DTO_01100078	H(+)/Cl(-) exchange transporter 7	Tbio
dto:DTO_01100079	Chloride intracellular channel protein 1	Tbio
dto:DTO_01100080	Chloride intracellular channel protein 2	Tbio
dto:DTO_01100081	Chloride intracellular channel protein 3	Tbio
dto:DTO_01100082	Chloride intracellular channel protein 4	Tbio
dto:DTO_01100083	Chloride intracellular channel protein 5	Tbio
dto:DTO_01100084	Chloride intracellular channel protein 6	Tbio
dto:DTO_01100085	CGMP-gated cation channel alpha-1	Tbio
dto:DTO_01100086	Cyclic nucleotide-gated olfactory channel	Tbio
dto:DTO_01100087	Cyclic nucleotide-gated cation channel alpha-3	Tbio
dto:DTO_01100088	Cyclic nucleotide-gated cation channel alpha-4	Tdark
dto:DTO_01100089	Cyclic nucleotide-gated cation channel beta-1	Tbio
dto:DTO_01100090	Cyclic nucleotide-gated cation channel beta-3	Tbio
dto:DTO_01100091	Calcium release-activated calcium channel protein 1	Tchem
dto:DTO_01100092	Calsenilin	Tbio
dto:DTO_01100093	Cation channel sperm-associated protein 1	Tchem
dto:DTO_01100094	Cation channel sperm-associated protein 2	Tchem
dto:DTO_01100095	Cation channel sperm-associated protein 3	Tchem
dto:DTO_01100096	Cation channel sperm-associated protein 4	Tchem
dto:DTO_01100097	Cytochrome b-245 heavy chain	Tchem
dto:DTO_01100098	Protein FAM26D	Tdark
dto:DTO_01100099	Protein FAM26E	Tdark
dto:DTO_01100100	Protein FAM26F	Tdark
dto:DTO_01100101	Fxyd domain-containing ion transport regulator 3	Tbio
dto:DTO_01100102	FXYD domain-containing ion transport regulator 4	Tdark
dto:DTO_01100103	FXYD domain-containing ion transport regulator 5	Tbio
dto:DTO_01100104	FXYD domain-containing ion transport regulator 6	Tbio
dto:DTO_01100105	Fxyd domain-containing ion transport regulator 7	Tbio
dto:DTO_01100106	Putative fxyd domain-containing ion transport regulator 8	Tdark
dto:DTO_01100107	Gamma-aminobutyric acid receptor subunit alpha-1	Tclin
dto:DTO_01100108	Gamma-aminobutyric acid receptor subunit alpha-2	Tclin
dto:DTO_01100109	Gamma-aminobutyric acid receptor subunit alpha-3	Tclin
dto:DTO_01100110	Gamma-aminobutyric acid receptor subunit alpha-4	Tclin
dto:DTO_01100111	Gamma-aminobutyric acid receptor subunit alpha-5	Tclin
dto:DTO_01100112	Gamma-aminobutyric acid receptor subunit alpha-6	Tclin
dto:DTO_01100113	Gamma-aminobutyric acid receptor subunit beta-1	Tclin
dto:DTO_01100114	Gamma-aminobutyric acid receptor subunit beta-2	Tclin
