[label]	tdl_label
1-phosphatidylinositol 3-phosphate 5-kinase	Tbio
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	Tbio
2-5a-dependent ribonuclease	Tchem
2-oxoglutarate receptor 1	Tbio
3-phosphoinositide-dependent protein kinase 1	Tchem
5'-AMP-activated protein kinase catalytic subunit alpha-1	Tchem
5'-AMP-activated protein kinase catalytic subunit alpha-2	Tchem
5'-AMP-activated protein kinase subunit beta-1	Tchem
5'-AMP-activated protein kinase subunit gamma-1	Tbio
5-hydroxytryptamine receptor 1D	Tclin
5-hydroxytryptamine receptor 1E	Tchem
5-hydroxytryptamine receptor 1a	Tclin
5-hydroxytryptamine receptor 1b	Tclin
5-hydroxytryptamine receptor 1f	Tchem
5-hydroxytryptamine receptor 2A	Tclin
5-hydroxytryptamine receptor 2B	Tclin
5-hydroxytryptamine receptor 2c	Tclin
5-hydroxytryptamine receptor 3A	Tclin
5-hydroxytryptamine receptor 3B	Tchem
5-hydroxytryptamine receptor 3C	Tchem
5-hydroxytryptamine receptor 3d	Tchem
5-hydroxytryptamine receptor 3e	Tchem
5-hydroxytryptamine receptor 4	Tclin
5-hydroxytryptamine receptor 5a	Tchem
5-hydroxytryptamine receptor 6	Tchem
5-hydroxytryptamine receptor 7	Tclin
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1	Tbio
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1	Tchem
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	Tbio
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	Tchem
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	Tchem
ATP-dependent 6-phosphofructokinase, muscle type	Tbio
ATP-dependent 6-phosphofructokinase, platelet type	Tbio
ATP-sensitive inward rectifier potassium channel 1	Tchem
ATP-sensitive inward rectifier potassium channel 10	Tbio
ATP-sensitive inward rectifier potassium channel 11	Tclin
ATP-sensitive inward rectifier potassium channel 12	Tbio
ATP-sensitive inward rectifier potassium channel 15	Tbio
Aarf domain-containing protein kinase 4	Tchem
Abelson tyrosine-protein kinase 2	Tchem
Acetylcholine receptor subunit alpha	Tclin
Acetylcholine receptor subunit beta	Tclin
Acetylcholine receptor subunit delta	Tclin
Acetylcholine receptor subunit epsilon	Tclin
Acetylcholine receptor subunit gamma	Tclin
Acid-sensing ion channel 1	Tchem
Acid-sensing ion channel 2	Tbio
Acid-sensing ion channel 3	Tchem
Acid-sensing ion channel 4	Tbio
Acid-sensing ion channel 5	Tbio
Activated cdc42 kinase 1	Tchem
Activin receptor type-1	Tchem
Activin receptor type-1b	Tchem
Activin receptor type-1c	Tbio
Activin receptor type-2a	Tchem
Activin receptor type-2b	Tchem
Adenosine kinase	Tchem
Adenosine receptor a1	Tclin
Adenosine receptor a2a	Tclin
Adenosine receptor a2b	Tclin
Adenosine receptor a3	Tchem
Adenylate kinase 2, mitochondrial	Tbio
Adenylate kinase 4, mitochondrial	Tbio
Adenylate kinase 8	Tbio
Adenylate kinase 9	Tbio
Adenylate kinase isoenzyme 1	Tbio
Adenylate kinase isoenzyme 5	Tbio
Adenylate kinase isoenzyme 6	Tbio
Adhesion G protein-coupled receptor A1	Tdark
Adhesion G protein-coupled receptor A3	Tbio
Adhesion G protein-coupled receptor B2	Tbio
Adhesion G protein-coupled receptor B3	Tbio
Adhesion G protein-coupled receptor E1	Tbio
Adhesion G protein-coupled receptor E2	Tbio
Adhesion G protein-coupled receptor E3	Tbio
Adhesion G protein-coupled receptor F4	Tdark
Adhesion G protein-coupled receptor F5	Tbio
Adhesion G protein-coupled receptor G3	Tchem
Adhesion G protein-coupled receptor L2	Tbio
Adhesion G protein-coupled receptor L4	Tbio
Adhesion G-protein coupled receptor D1	Tbio
Adhesion G-protein coupled receptor D2	Tdark
Adhesion G-protein coupled receptor F1	Tdark
Adhesion G-protein coupled receptor F2	Tdark
Adhesion G-protein coupled receptor F3	Tdark
Adhesion G-protein coupled receptor G2	Tbio
Adhesion G-protein coupled receptor G4	Tdark
Adhesion G-protein coupled receptor G5	Tdark
Adhesion G-protein coupled receptor G7	Tdark
Adrenocorticotropic hormone receptor	Tclin
Alk tyrosine kinase receptor	Tclin
Alpha-1B adrenergic receptor	Tclin
Alpha-1D adrenergic receptor	Tclin
Alpha-1a adrenergic receptor	Tclin
Alpha-2B adrenergic receptor	Tclin
Alpha-2a adrenergic receptor	Tclin
Alpha-2c adrenergic receptor	Tclin
Alpha-protein kinase 1	Tbio
Alpha-protein kinase 2	Tdark
Alpha-protein kinase 3	Tdark
Amiloride-sensitive sodium channel subunit alpha	Tclin
Amiloride-sensitive sodium channel subunit beta	Tclin
Amiloride-sensitive sodium channel subunit delta	Tbio
Amiloride-sensitive sodium channel subunit gamma	Tclin
Androgen receptor	Tclin
Angiopoietin-1 receptor	Tclin
Ankyrin repeat and protein kinase domain-containing protein 1	Tchem
Anoctamin-1	Tclin
Anoctamin-2	Tbio
Anoctamin-6	Tbio
Anti-muellerian hormone type-2 receptor	Tbio
Ap2-associated protein kinase 1	Tchem
Apelin receptor	Tchem
Atp-dependent 6-phosphofructokinase, liver type	Tbio
Atp-sensitive inward rectifier potassium channel 14	Tdark
Atp-sensitive inward rectifier potassium channel 8	Tbio
Atrial natriuretic peptide receptor 1	Tclin
Atrial natriuretic peptide receptor 2	Tbio
Atypical chemokine receptor 1	Tbio
Atypical chemokine receptor 2	Tbio
Atypical chemokine receptor 3	Tchem
Atypical chemokine receptor 4	Tbio
Atypical kinase adck3, mitochondrial	Tchem
Aurora kinase a	Tchem
Aurora kinase b	Tchem
Aurora kinase c	Tchem
B1 bradykinin receptor	Tchem
B2 bradykinin receptor	Tclin
Bdnf/nt-3 growth factors receptor	Tchem
Bestrophin-1	Tbio
Bestrophin-2	Tbio
Bestrophin-3	Tbio
Bestrophin-4	Tbio
Beta-1 adrenergic receptor	Tclin
Beta-2 adrenergic receptor	Tclin
Beta-3 adrenergic receptor	Tclin
Beta-adrenergic receptor kinase 1	Tchem
Beta-adrenergic receptor kinase 2	Tchem
Bile acid receptor	Tclin
Bmp-2-inducible protein kinase	Tchem
Bombesin receptor subtype-3	Tchem
Bone morphogenetic protein receptor type-1a	Tchem
Bone morphogenetic protein receptor type-1b	Tchem
Bone morphogenetic protein receptor type-2	Tchem
Brain-specific angiogenesis inhibitor 1	Tbio
C-C chemokine receptor type 2	Tchem
C-C chemokine receptor type 3	Tchem
C-C chemokine receptor type 4	Tclin
C-C chemokine receptor type 5	Tclin
C-C chemokine receptor type 6	Tchem
C-C chemokine receptor-like 2	Tchem
C-X-C chemokine receptor type 1	Tchem
C-X-C chemokine receptor type 2	Tchem
C-c chemokine receptor type 1	Tchem
C-c chemokine receptor type 10	Tbio
C-c chemokine receptor type 7	Tbio
C-c chemokine receptor type 8	Tchem
C-c chemokine receptor type 9	Tchem
C-x-c chemokine receptor type 3	Tchem
C-x-c chemokine receptor type 4	Tclin
C-x-c chemokine receptor type 5	Tbio
C-x-c chemokine receptor type 6	Tbio
C3a anaphylatoxin chemotactic receptor	Tchem
C5a anaphylatoxin chemotactic receptor 1	Tchem
C5a anaphylatoxin chemotactic receptor 2	Tbio
CD97 antigen	Tbio
CGMP-gated cation channel alpha-1	Tbio
CX3C chemokine receptor 1	Tchem
Cadherin EGF LAG seven-pass G-type receptor 3	Tbio
Cadherin egf lag seven-pass g-type receptor 1	Tbio
Cadherin egf lag seven-pass g-type receptor 2	Tbio
Calcitonin gene-related peptide type 1 receptor	Tchem
Calcitonin receptor	Tclin
Calcium homeostasis modulator protein 1	Tbio
Calcium homeostasis modulator protein 2	Tdark
Calcium homeostasis modulator protein 3	Tdark
Calcium release-activated calcium channel protein 1	Tchem
Calcium uniporter protein, mitochondrial	Tbio
Calcium-activated chloride channel regulator 1	Tbio
Calcium-activated chloride channel regulator 2	Tbio
Calcium-activated chloride channel regulator 4	Tbio
Calcium-activated chloride channel regulator family member 3	Tdark
Calcium-activated potassium channel subunit alpha-1	Tclin
Calcium-activated potassium channel subunit beta-1	Tbio
Calcium-activated potassium channel subunit beta-2	Tbio
Calcium-activated potassium channel subunit beta-3	Tbio
Calcium-activated potassium channel subunit beta-4	Tbio
Calcium/calmodulin-dependent protein kinase kinase 1	Tchem
Calcium/calmodulin-dependent protein kinase kinase 2	Tchem
Calcium/calmodulin-dependent protein kinase type 1	Tchem
Calcium/calmodulin-dependent protein kinase type 1b	Tbio
Calcium/calmodulin-dependent protein kinase type 1d	Tchem
Calcium/calmodulin-dependent protein kinase type 1g	Tchem
Calcium/calmodulin-dependent protein kinase type ii subunit alpha	Tchem
Calcium/calmodulin-dependent protein kinase type ii subunit beta	Tchem
Calcium/calmodulin-dependent protein kinase type ii subunit delta	Tchem
Calcium/calmodulin-dependent protein kinase type ii subunit gamma	Tchem
Calcium/calmodulin-dependent protein kinase type iv	Tchem
Calsenilin	Tbio
Cam kinase-like vesicle-associated protein	Tbio
Camp-dependent protein kinase catalytic subunit alpha	Tchem
Camp-dependent protein kinase catalytic subunit beta	Tchem
Camp-dependent protein kinase catalytic subunit gamma	Tbio
Camp-dependent protein kinase catalytic subunit prkx	Tchem
Cannabinoid receptor 1	Tclin
Cannabinoid receptor 2	Tchem
Casein kinase II subunit alpha	Tchem
Casein kinase II subunit alpha'	Tchem
Casein kinase i isoform alpha	Tchem
Casein kinase i isoform alpha-like	Tchem
Casein kinase i isoform delta	Tchem
Casein kinase i isoform epsilon	Tchem
Casein kinase i isoform gamma-1	Tchem
Casein kinase i isoform gamma-2	Tchem
Casein kinase i isoform gamma-3	Tchem
Casein kinase ii subunit alpha 3	Tdark
Casein kinase ii subunit beta	Tbio
Cation channel sperm-associated protein 1	Tchem
Cation channel sperm-associated protein 2	Tchem
Cation channel sperm-associated protein 3	Tchem
Cation channel sperm-associated protein 4	Tchem
Cell division cycle 7-related protein kinase	Tchem
Ceramide kinase	Tbio
Cgmp-dependent protein kinase 1	Tchem
Cgmp-dependent protein kinase 2	Tchem
Chemokine xc receptor 1	Tbio
Chemokine-like receptor 1	Tbio
Chloride channel CLIC-like protein 1	Tbio
Chloride channel protein 1	Tbio
Chloride channel protein 2	Tclin
Chloride channel protein clc-ka	Tbio
Chloride channel protein clc-kb	Tbio
Chloride intracellular channel protein 1	Tbio
Chloride intracellular channel protein 2	Tbio
Chloride intracellular channel protein 3	Tbio
Chloride intracellular channel protein 4	Tbio
Chloride intracellular channel protein 5	Tbio
Chloride intracellular channel protein 6	Tbio
Chloride transport protein 6	Tbio
Cholecystokinin receptor type a	Tclin
Choline kinase alpha	Tchem
Choline/ethanolamine kinase	Tbio
Citron rho-interacting kinase	Tchem
Corticotropin-releasing factor receptor 1	Tclin
Corticotropin-releasing factor receptor 2	Tchem
Coup transcription factor 1	Tbio
Coup transcription factor 2	Tbio
Creatine kinase B-type	Tbio
Creatine kinase S-type, mitochondrial	Tbio
Creatine kinase U-type, mitochondrial	Tbio
Creatine kinase m-type	Tbio
Cyclic nucleotide-gated cation channel alpha-3	Tbio
Cyclic nucleotide-gated cation channel alpha-4	Tdark
Cyclic nucleotide-gated cation channel beta-1	Tbio
Cyclic nucleotide-gated cation channel beta-3	Tbio
Cyclic nucleotide-gated olfactory channel	Tbio
Cyclin-dependent kinase 1	Tchem
Cyclin-dependent kinase 10	Tbio
Cyclin-dependent kinase 11a	Tchem
Cyclin-dependent kinase 11b	Tchem
Cyclin-dependent kinase 12	Tbio
Cyclin-dependent kinase 13	Tchem
Cyclin-dependent kinase 14	Tchem
Cyclin-dependent kinase 15	Tchem
Cyclin-dependent kinase 16	Tchem
Cyclin-dependent kinase 17	Tchem
Cyclin-dependent kinase 18	Tchem
Cyclin-dependent kinase 19	Tchem
Cyclin-dependent kinase 2	Tchem
Cyclin-dependent kinase 20	Tbio
Cyclin-dependent kinase 3	Tchem
Cyclin-dependent kinase 4	Tclin
Cyclin-dependent kinase 6	Tclin
Cyclin-dependent kinase 7	Tchem
Cyclin-dependent kinase 8	Tchem
Cyclin-dependent kinase 9	Tchem
Cyclin-dependent kinase-like 1	Tchem
Cyclin-dependent kinase-like 2	Tchem
Cyclin-dependent kinase-like 3	Tchem
Cyclin-dependent kinase-like 4	Tdark
Cyclin-dependent kinase-like 5	Tchem
Cyclin-dependent-like kinase 5	Tchem
Cyclin-g-associated kinase	Tchem
Cysteinyl leukotriene receptor 1	Tclin
Cysteinyl leukotriene receptor 2	Tchem
Cystic fibrosis transmembrane conductance regulator	Tclin
Cytochrome b-245 heavy chain	Tchem
Cytoplasmic tyrosine-protein kinase bmx	Tchem
D(1B) dopamine receptor	Tchem
D(1a) dopamine receptor	Tclin
D(2) dopamine receptor	Tclin
D(3) dopamine receptor	Tclin
D(4) dopamine receptor	Tchem
Death-associated protein kinase 1	Tchem
Death-associated protein kinase 2	Tchem
Death-associated protein kinase 3	Tchem
Delta-type opioid receptor	Tclin
Deoxycytidine kinase	Tchem
Deoxyguanosine kinase, mitochondrial	Tbio
Diacylglycerol kinase alpha	Tbio
Diacylglycerol kinase eta	Tbio
Diacylglycerol kinase theta	Tbio
Discoidin domain-containing receptor 2	Tchem
