[label]	uniprot	disease_label
2-5a-dependent ribonuclease	Q05823	prostate cancer
5-hydroxytryptamine receptor 1b	P28222	migraine
ATP-dependent 6-phosphofructokinase, muscle type	P08237	glycogen storage disease
ATP-dependent 6-phosphofructokinase, muscle type	P08237	glycogen storage disease VII
ATP-sensitive inward rectifier potassium channel 1	P48048	Bartter disease
ATP-sensitive inward rectifier potassium channel 10	P78508	intellectual disability
ATP-sensitive inward rectifier potassium channel 10	P78508	epilepsy
ATP-sensitive inward rectifier potassium channel 11	Q14654	hyperinsulinemic hypoglycemia
ATP-sensitive inward rectifier potassium channel 11	Q14654	diabetes mellitus
Acetylcholine receptor subunit alpha	P02708	congenital myasthenic syndrome
Acetylcholine receptor subunit beta	P11230	congenital myasthenic syndrome
Acetylcholine receptor subunit delta	Q07001	congenital myasthenic syndrome
Acetylcholine receptor subunit epsilon	Q04844	congenital myasthenic syndrome
Activin receptor type-1	Q04771	fibrodysplasia ossificans progressiva
Activin receptor type-2b	Q13705	visceral heterotaxy
Adenylate kinase isoenzyme 1	P00568	congenital hemolytic anemia
Alk tyrosine kinase receptor	Q9UM73	neuroblastoma
Alk tyrosine kinase receptor	Q9UM73	cancer
Alpha-2B adrenergic receptor	P18089	epilepsy
Amiloride-sensitive sodium channel subunit beta	P51168	Liddle syndrome
Amiloride-sensitive sodium channel subunit gamma	P51170	Liddle syndrome
Androgen receptor	P10275	prostate cancer
Androgen receptor	P10275	Kennedy's disease
Androgen receptor	P10275	neurodegenerative disease
Androgen receptor	P10275	androgen insensitivity syndrome
Androgen receptor	P10275	androgenic alopecia
Androgen receptor	P10275	pseudohermaphroditism
Angiopoietin-1 receptor	Q02763	multiple cutaneous and mucosal venous malformations
Anti-muellerian hormone type-2 receptor	Q16671	persistent Mullerian duct syndrome
Anti-muellerian hormone type-2 receptor	Q16671	pseudohermaphroditism
Atp-sensitive inward rectifier potassium channel 8	Q15842	Brugada syndrome
Atypical kinase adck3, mitochondrial	Q8NI60	neurodegenerative disease
Aurora kinase a	O14965	cancer
Bdnf/nt-3 growth factors receptor	Q16620	obesity
Bestrophin-1	O76090	retinitis pigmentosa
Bestrophin-1	O76090	vitelliform macular dystrophy
Bestrophin-1	O76090	age related macular degeneration
Bestrophin-1	O76090	bestrophinopathy
Beta-3 adrenergic receptor	P13945	diabetes mellitus
Beta-3 adrenergic receptor	P13945	obesity
Bile acid receptor	Q96RI1	intrahepatic cholestasis
Bone morphogenetic protein receptor type-1a	P36894	juvenile polyposis syndrome
Bone morphogenetic protein receptor type-2	Q13873	pulmonary venoocclusive disease
Bone morphogenetic protein receptor type-2	Q13873	primary pulmonary hypertension
C-C chemokine receptor type 5	P51681	diabetes mellitus
C-C chemokine receptor type 5	P51681	acquired immunodeficiency syndrome
C-C chemokine receptor type 5	P51681	type 1 diabetes mellitus
C-C chemokine receptor type 6	P51684	rheumatoid arthritis
