[label]	uniprot	tissue_label
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	T-cell chronic lymphocytic leukemia cell
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	cervical carcinoma cell
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	erythroleukemia cell
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	brain
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	placenta
2-5a-dependent ribonuclease	Q05823	kidney
2-5a-dependent ribonuclease	Q05823	colonic cancer cell
2-5a-dependent ribonuclease	Q05823	placenta
2-5a-dependent ribonuclease	Q05823	lymph
2-oxoglutarate receptor 1	Q96P68	thyroid gland
2-oxoglutarate receptor 1	Q96P68	placenta
3-phosphoinositide-dependent protein kinase 1	O15530	T-cell chronic lymphocytic leukemia cell
3-phosphoinositide-dependent protein kinase 1	O15530	kidney
3-phosphoinositide-dependent protein kinase 1	O15530	uterus
3-phosphoinositide-dependent protein kinase 1	O15530	pronephros
3-phosphoinositide-dependent protein kinase 1	O15530	brain
3-phosphoinositide-dependent protein kinase 1	O15530	myeloid dendritic cell
3-phosphoinositide-dependent protein kinase 1	O15530	liver
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	erythroleukemia cell
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	cervical carcinoma cell
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	mammary gland
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	blood platelet
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	T-cell chronic lymphocytic leukemia cell
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	liver
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	brain
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	trachea
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	testis
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	umbilical cord blood
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	intestine
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	heart
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	skeletal muscle
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	cervical carcinoma cell
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	muscle
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	blood platelet
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	erythroleukemia cell
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	liver
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	T-cell chronic lymphocytic leukemia cell
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	brain
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	lung
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	cervical carcinoma cell
5'-AMP-activated protein kinase subunit gamma-1	P54619	muscle
5'-AMP-activated protein kinase subunit gamma-1	P54619	CL-48 cell
5'-AMP-activated protein kinase subunit gamma-1	P54619	cervical carcinoma cell
5'-AMP-activated protein kinase subunit gamma-1	P54619	liver
5'-AMP-activated protein kinase subunit gamma-1	P54619	testis
5'-AMP-activated protein kinase subunit gamma-1	P54619	astrocytoma cell
5-hydroxytryptamine receptor 1D	P28221	placenta
5-hydroxytryptamine receptor 1D	P28221	eye
5-hydroxytryptamine receptor 1E	P28566	brain
5-hydroxytryptamine receptor 1a	P08908	brain
5-hydroxytryptamine receptor 1b	P28222	placenta
5-hydroxytryptamine receptor 1f	P30939	brain
5-hydroxytryptamine receptor 2A	P28223	testis
5-hydroxytryptamine receptor 2A	P28223	brain
5-hydroxytryptamine receptor 2A	P28223	lung
