[label]	uniprot	tissue_label
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	cerebellum
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	spleen
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	skeletal muscle
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	bone marrow
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	kidney
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	lymph node
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	3T3-L1 cell
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	heart
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	hypothalamus
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	adipocyte
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	epidermal cell line
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	testis
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	occipital lobe
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	bronchus
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	skeletal muscle
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	tonsil
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	lung
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	skin
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	nasopharynx
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	duodenum
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	breast
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	colon
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	thyroid gland
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	gall bladder
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	adrenal gland
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	parathyroid gland
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	seminal vesicle
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	esophagus
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	cerebellum
2-5a-dependent ribonuclease	Q05823	embryonic fibroblast
2-5a-dependent ribonuclease	Q05823	immune system
2-5a-dependent ribonuclease	Q05823	HeLa cell
2-5a-dependent ribonuclease	Q05823	testis
2-5a-dependent ribonuclease	Q05823	L-929 cell
2-5a-dependent ribonuclease	Q05823	Ehrlich ascites carcinoma cell
2-5a-dependent ribonuclease	Q05823	ovary
2-5a-dependent ribonuclease	Q05823	FM3A cell
2-oxoglutarate receptor 1	Q96P68	connecting tubule
2-oxoglutarate receptor 1	Q96P68	intercalated cell
3-phosphoinositide-dependent protein kinase 1	O15530	duodenum
3-phosphoinositide-dependent protein kinase 1	O15530	corpus callosum
3-phosphoinositide-dependent protein kinase 1	O15530	cardiac muscle
3-phosphoinositide-dependent protein kinase 1	O15530	colon
3-phosphoinositide-dependent protein kinase 1	O15530	salivary gland
3-phosphoinositide-dependent protein kinase 1	O15530	skin
3-phosphoinositide-dependent protein kinase 1	O15530	testis
3-phosphoinositide-dependent protein kinase 1	O15530	thyroid gland
3-phosphoinositide-dependent protein kinase 1	O15530	spleen
3-phosphoinositide-dependent protein kinase 1	O15530	lymph node
3-phosphoinositide-dependent protein kinase 1	O15530	frontal lobe
3-phosphoinositide-dependent protein kinase 1	O15530	temporal lobe
3-phosphoinositide-dependent protein kinase 1	O15530	vermiform appendix
3-phosphoinositide-dependent protein kinase 1	O15530	ovary
3-phosphoinositide-dependent protein kinase 1	O15530	parietal lobe
3-phosphoinositide-dependent protein kinase 1	O15530	occipital lobe
3-phosphoinositide-dependent protein kinase 1	O15530	cerebral cortex
3-phosphoinositide-dependent protein kinase 1	O15530	prostate gland
3-phosphoinositide-dependent protein kinase 1	O15530	intestine
3-phosphoinositide-dependent protein kinase 1	O15530	lung
3-phosphoinositide-dependent protein kinase 1	O15530	adrenal gland
3-phosphoinositide-dependent protein kinase 1	O15530	esophagus
3-phosphoinositide-dependent protein kinase 1	O15530	hypothalamus
3-phosphoinositide-dependent protein kinase 1	O15530	eye
3-phosphoinositide-dependent protein kinase 1	O15530	cerebellum
3-phosphoinositide-dependent protein kinase 1	O15530	placenta
3-phosphoinositide-dependent protein kinase 1	O15530	urinary bladder
3-phosphoinositide-dependent protein kinase 1	O15530	stomach
3-phosphoinositide-dependent protein kinase 1	O15530	gall bladder
3-phosphoinositide-dependent protein kinase 1	O15530	heart
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	gall bladder
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	skeletal muscle
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	cerebral cortex
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	esophagus
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	cardiac muscle
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	bone marrow
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	parathyroid gland
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	pancreas
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	kidney
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	stomach
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	lymph node
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	hypothalamus
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	culture condition:CD8+ cell
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	B-lymphocyte
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	heart
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	natural killer cell
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	uterus
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	colon
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	retina
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	vermiform appendix
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	frontal lobe
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	duodenum
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	urinary bladder
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	skin
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	lung
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	gut
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	spleen
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	adipose tissue
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	ovary
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	prostate gland
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	rectum
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	adrenal gland
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	thyroid gland
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	salivary gland
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	placenta
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	trophoblast stem cell
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	parietal lobe
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	frontal lobe
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	cerebral cortex
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	natural killer cell
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	liver
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	ovary
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	stomach
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	culture condition:CD8+ cell
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	GT1-7 cell
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	B-lymphocyte
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	cardiac muscle
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	kidney
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	gut
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	cerebellum
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	blood platelet
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	occipital lobe
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	brain
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	temporal lobe
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	parathyroid gland
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	stomach
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	adrenal gland
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	pancreas
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	kidney
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	esophagus
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	adipose tissue
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	gall bladder
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	urinary bladder
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	temporal lobe
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	vermiform appendix
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	corpus callosum
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	parietal lobe
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	ovary
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	uterus
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	duodenum
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	bone marrow
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	spleen
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	colon
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	intestine
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	placenta
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	lymph node
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	thyroid gland
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	eye
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	cerebellum
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	frontal lobe
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	testis
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	spinal cord
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	occipital lobe
5'-AMP-activated protein kinase subunit gamma-1	P54619	heart
5'-AMP-activated protein kinase subunit gamma-1	P54619	esophagus
5'-AMP-activated protein kinase subunit gamma-1	P54619	hypothalamus
5'-AMP-activated protein kinase subunit gamma-1	P54619	gall bladder
5'-AMP-activated protein kinase subunit gamma-1	P54619	colon
5'-AMP-activated protein kinase subunit gamma-1	P54619	lymph node
5'-AMP-activated protein kinase subunit gamma-1	P54619	adrenal gland
5'-AMP-activated protein kinase subunit gamma-1	P54619	lung
