[label]	uniprot	disease_label
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	carcinoma
1-phosphatidylinositol 3-phosphate 5-kinase	Q9Y2I7	Fleck corneal dystrophy
12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	O00270	ichthyosis vulgaris
2-5a-dependent ribonuclease	Q05823	multiple sclerosis
3-phosphoinositide-dependent protein kinase 1	O15530	glaucoma
3-phosphoinositide-dependent protein kinase 1	O15530	cancer
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	stomach cancer
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	asthma
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	carcinoma
5'-AMP-activated protein kinase subunit beta-1	Q9Y478	Andersen-Tawil syndrome
5-hydroxytryptamine receptor 1D	P28221	obsessive-compulsive disorder
5-hydroxytryptamine receptor 1E	P28566	breast cancer
5-hydroxytryptamine receptor 1E	P28566	attention deficit hyperactivity disorder
5-hydroxytryptamine receptor 1E	P28566	carcinoma
5-hydroxytryptamine receptor 1E	P28566	sexual disorder
5-hydroxytryptamine receptor 1E	P28566	cognitive disorder
5-hydroxytryptamine receptor 1E	P28566	skin papilloma
5-hydroxytryptamine receptor 1a	P08908	drug psychosis
5-hydroxytryptamine receptor 1a	P08908	migraine
5-hydroxytryptamine receptor 1a	P08908	pain agnosia
5-hydroxytryptamine receptor 1a	P08908	movement disease
5-hydroxytryptamine receptor 1a	P08908	schizoaffective disorder
5-hydroxytryptamine receptor 1a	P08908	sexual dysfunction
5-hydroxytryptamine receptor 1a	P08908	motion sickness
5-hydroxytryptamine receptor 1a	P08908	Parkinson's disease
5-hydroxytryptamine receptor 1a	P08908	bipolar disorder
5-hydroxytryptamine receptor 1a	P08908	personality disorder
5-hydroxytryptamine receptor 1a	P08908	epilepsy
5-hydroxytryptamine receptor 1a	P08908	Alzheimer's disease
5-hydroxytryptamine receptor 1a	P08908	alcohol dependence
5-hydroxytryptamine receptor 1a	P08908	amnestic disorder
5-hydroxytryptamine receptor 1a	P08908	hypoactive sexual desire disorder
5-hydroxytryptamine receptor 1a	P08908	substance abuse
5-hydroxytryptamine receptor 1a	P08908	sudden infant death syndrome
5-hydroxytryptamine receptor 1a	P08908	neuroleptic malignant syndrome
5-hydroxytryptamine receptor 1a	P08908	bruxism
5-hydroxytryptamine receptor 1a	P08908	premature ejaculation
5-hydroxytryptamine receptor 1b	P28222	ischemic colitis
5-hydroxytryptamine receptor 1b	P28222	substance abuse
5-hydroxytryptamine receptor 1b	P28222	alcohol dependence
5-hydroxytryptamine receptor 1b	P28222	personality disorder
5-hydroxytryptamine receptor 1b	P28222	major depressive disorder
5-hydroxytryptamine receptor 1b	P28222	obsessive-compulsive disorder
5-hydroxytryptamine receptor 1b	P28222	schizophrenia
5-hydroxytryptamine receptor 1b	P28222	attention deficit hyperactivity disorder
5-hydroxytryptamine receptor 1f	P30939	substance-related disorder
5-hydroxytryptamine receptor 1f	P30939	Alzheimer's disease
5-hydroxytryptamine receptor 1f	P30939	dementia
5-hydroxytryptamine receptor 1f	P30939	amnestic disorder
5-hydroxytryptamine receptor 2A	P28223	dementia
5-hydroxytryptamine receptor 2A	P28223	panic disorder
