[label]	uniprot	disease_label
2-5a-dependent ribonuclease	Q05823	chronic fatigue syndrome
5-hydroxytryptamine receptor 1D	P28221	migraine
5-hydroxytryptamine receptor 1a	P08908	anxiety disorder
5-hydroxytryptamine receptor 1a	P08908	major depressive disorder
5-hydroxytryptamine receptor 1a	P08908	schizophrenia
5-hydroxytryptamine receptor 1f	P30939	schizophrenia
5-hydroxytryptamine receptor 1f	P30939	migraine
5-hydroxytryptamine receptor 2A	P28223	major depressive disorder
5-hydroxytryptamine receptor 2A	P28223	schizophrenia
5-hydroxytryptamine receptor 2A	P28223	bipolar disorder
5-hydroxytryptamine receptor 2A	P28223	obsessive-compulsive disorder
5-hydroxytryptamine receptor 2c	P28335	schizophrenia
5-hydroxytryptamine receptor 3A	P46098	motion sickness
5-hydroxytryptamine receptor 3A	P46098	diarrhea
5-hydroxytryptamine receptor 3A	P46098	constipation
5-hydroxytryptamine receptor 3A	P46098	irritable bowel syndrome
5-hydroxytryptamine receptor 4	Q13639	irritable bowel syndrome
5-hydroxytryptamine receptor 4	Q13639	constipation
5-hydroxytryptamine receptor 4	Q13639	gastroparesis
5-hydroxytryptamine receptor 6	P50406	schizophrenia
5-hydroxytryptamine receptor 7	P34969	pain agnosia
5-hydroxytryptamine receptor 7	P34969	schizophrenia
5-hydroxytryptamine receptor 7	P34969	constipation
5-hydroxytryptamine receptor 7	P34969	irritable bowel syndrome
5-hydroxytryptamine receptor 7	P34969	migraine
ATP-sensitive inward rectifier potassium channel 1	P48048	hypokalemia
ATP-sensitive inward rectifier potassium channel 1	P48048	polyhydramnios
ATP-sensitive inward rectifier potassium channel 1	P48048	kidney disease
ATP-sensitive inward rectifier potassium channel 10	P78508	EAST syndrome
ATP-sensitive inward rectifier potassium channel 11	Q14654	hyperinsulinism
ATP-sensitive inward rectifier potassium channel 11	Q14654	hypoglycemia
Acetylcholine receptor subunit alpha	P02708	multiple pterygium syndrome
Acetylcholine receptor subunit beta	P11230	multiple pterygium syndrome
Acetylcholine receptor subunit delta	Q07001	multiple pterygium syndrome
Acetylcholine receptor subunit gamma	P07510	multiple pterygium syndrome
Adenosine receptor a2a	P29274	Parkinson's disease
Adenylate kinase isoenzyme 1	P00568	nail-patella syndrome
Adrenocorticotropic hormone receptor	Q01718	triple-A syndrome
Alpha-2a adrenergic receptor	P08913	attention deficit hyperactivity disorder
Androgen receptor	P10275	breast cancer
Androgen receptor	P10275	hypospadias
Ankyrin repeat and protein kinase domain-containing protein 1	Q8NFD2	alcohol dependence
Ankyrin repeat and protein kinase domain-containing protein 1	Q8NFD2	nicotine dependence
Anoctamin-1	Q5XXA6	gastrointestinal stromal tumor
Anoctamin-6	Q4KMQ2	teratoma
Atrial natriuretic peptide receptor 2	P20594	osteochondrodysplasia
Atypical chemokine receptor 1	Q16570	herpes simplex
Atypical chemokine receptor 1	Q16570	malaria
Atypical kinase adck3, mitochondrial	Q8NI60	cerebellar ataxia
Aurora kinase b	Q96GD4	cancer
Bestrophin-2	Q8NFU1	vitelliform macular dystrophy
Bestrophin-4	Q8NFU0	vitelliform macular dystrophy
Beta-1 adrenergic receptor	P08588	heart disease
Beta-2 adrenergic receptor	P07550	asthma
Bile acid receptor	Q96RI1	cholestasis
Bone morphogenetic protein receptor type-1a	P36894	Bannayan-Riley-Ruvalcaba syndrome
Bone morphogenetic protein receptor type-2	Q13873	Cor pulmonale
Bone morphogenetic protein receptor type-2	Q13873	hypertension
C-C chemokine receptor type 2	P41597	acquired immunodeficiency syndrome
C-C chemokine receptor type 3	P51677	hypereosinophilic syndrome
C-C chemokine receptor type 3	P51677	asthma
C-c chemokine receptor type 7	P32248	cancer
C-x-c chemokine receptor type 4	P61073	human immunodeficiency virus infectious disease
C-x-c chemokine receptor type 4	P61073	cancer
Calcium release-activated calcium channel protein 1	Q96D31	Stormorken syndrome
Calcium uniporter protein, mitochondrial	Q8NE86	acute cystitis
Calcium uniporter protein, mitochondrial	Q8NE86	vesicoureteral reflux
Calcium-activated chloride channel regulator 1	A8K7I4	cystic fibrosis
Calcium-activated chloride channel regulator 2	Q9UQC9	cystic fibrosis
Calcium-activated chloride channel regulator 4	Q14CN2	cystic fibrosis
Calcium-activated potassium channel subunit alpha-1	Q12791	Smith-Lemli-Opitz syndrome
Calcium-activated potassium channel subunit alpha-1	Q12791	scotoma
Calcium/calmodulin-dependent protein kinase type ii subunit beta	Q13554	phencyclidine abuse
Camp-dependent protein kinase catalytic subunit prkx	P51817	asbestos-related lung carcinoma
Cannabinoid receptor 1	P21554	pain agnosia
Cannabinoid receptor 1	P21554	obesity
Cannabinoid receptor 1	P21554	cannabis dependence
Cannabinoid receptor 1	P21554	schizophrenia
Casein kinase i isoform delta	P48730	chronic kidney disease
Cgmp-dependent protein kinase 2	Q13237	chromosome 4q21 deletion syndrome
Chloride channel protein 1	P35523	endomyocardial fibrosis
Chloride channel protein clc-kb	P51801	hypokalemia
Chloride intracellular channel protein 1	O00299	glycogen storage disease
Choline/ethanolamine kinase	Q9Y259	shipyard eye
Corticotropin-releasing factor receptor 1	P34998	post-traumatic stress disorder
Corticotropin-releasing factor receptor 1	P34998	chronic kidney disease
Corticotropin-releasing factor receptor 2	Q13324	chronic kidney disease
Creatine kinase B-type	P12277	myocardial infarction
Creatine kinase S-type, mitochondrial	P17540	myocardial infarction
Cyclic nucleotide-gated cation channel alpha-3	Q16281	blindness
Cyclic nucleotide-gated cation channel beta-3	Q9NQW8	blindness
Cyclic nucleotide-gated cation channel beta-3	Q9NQW8	cone dystrophy
Cyclin-dependent kinase 1	P06493	cancer
Cyclin-dependent kinase 2	P24941	cancer
Cyclin-dependent kinase 4	P11802	cancer
Cyclin-dependent kinase 6	Q00534	cancer
Cyclin-dependent kinase 9	P50750	Takayasu's arteritis
Cyclin-dependent-like kinase 5	Q00535	Alzheimer's disease
Cysteinyl leukotriene receptor 1	Q9Y271	asthma
Cysteinyl leukotriene receptor 2	Q9NS75	asthma
Cystic fibrosis transmembrane conductance regulator	P13569	lung disease
Cystic fibrosis transmembrane conductance regulator	P13569	bronchiectasis
Cystic fibrosis transmembrane conductance regulator	P13569	intestinal obstruction
Cystic fibrosis transmembrane conductance regulator	P13569	pancreatitis
Cystic fibrosis transmembrane conductance regulator	P13569	male infertility
D(1B) dopamine receptor	P21918	attention deficit hyperactivity disorder
D(1a) dopamine receptor	P21728	schizophrenia
D(2) dopamine receptor	P14416	nicotine dependence
D(2) dopamine receptor	P14416	schizophrenia
D(2) dopamine receptor	P14416	alcohol dependence
D(2) dopamine receptor	P14416	Parkinson's disease
D(2) dopamine receptor	P14416	attention deficit hyperactivity disorder
D(2) dopamine receptor	P14416	substance abuse
D(3) dopamine receptor	P35462	essential tremor
D(3) dopamine receptor	P35462	schizophrenia
D(4) dopamine receptor	P21917	oppositional defiant disorder
D(4) dopamine receptor	P21917	conduct disorder
D(4) dopamine receptor	P21917	schizophrenia
Death-associated protein kinase 1	P53355	cancer
Diacylglycerol kinase eta	Q86XP1	bipolar disorder
Dna-dependent protein kinase catalytic subunit	P78527	cancer
Dual specificity mitogen-activated protein kinase kinase 1	Q02750	cancer
Dual specificity mitogen-activated protein kinase kinase 1	Q02750	Costello syndrome
Dual specificity mitogen-activated protein kinase kinase 1	Q02750	Noonan syndrome
Dual specificity mitogen-activated protein kinase kinase 2	P36507	Noonan syndrome
Dual specificity mitogen-activated protein kinase kinase 7	O14733	cancer
Endothelin b receptor	P24530	impetigo
Endothelin b receptor	P24530	Ritter's disease
Endothelin b receptor	P24530	hypertension
Endothelin-1 receptor	P25101	hypertension
Ephrin type-a receptor 2	P29317	pulmonary embolism
Ephrin type-a receptor 5	P54756	Lyme disease
Epidermal growth factor receptor	P00533	diarrhea
Epidermal growth factor receptor	P00533	exanthem
Epidermal growth factor receptor	P00533	lung cancer
Epidermal growth factor receptor	P00533	carcinoma
Estrogen receptor	P03372	endometrial cancer
Estrogen receptor	P03372	carcinoma
Estrogen receptor	P03372	ductal carcinoma in situ
Estrogen receptor	P03372	osteoporosis
Estrogen receptor beta	Q92731	cancer
Eukaryotic translation initiation factor 2-alpha kinase 3	Q9NZJ5	cancer
Extracellular calcium-sensing receptor	P41180	hyperparathyroidism
Extracellular calcium-sensing receptor	P41180	hypoparathyroidism
Extracellular calcium-sensing receptor	P41180	kidney disease
Extracellular calcium-sensing receptor	P41180	hypercalcemia
Fibroblast growth factor receptor 1	P11362	lipomatosis
Fibroblast growth factor receptor 1	P11362	cancer
Fibroblast growth factor receptor 1	P11362	acrocephalosyndactylia
Fibroblast growth factor receptor 1	P11362	hypogonadism
Fibroblast growth factor receptor 2	P21802	syndactyly
Fibroblast growth factor receptor 2	P21802	Antley-Bixler syndrome
Fibroblast growth factor receptor 2	P21802	exophthalmos
Fibroblast growth factor receptor 3	P22607	cancer
Fibroblast growth factor receptor 3	P22607	acanthosis nigricans
Fibroblast growth factor receptor 3	P22607	acrocephalosyndactylia
Focal adhesion kinase 1	Q05397	cancer
Follicle-stimulating hormone receptor	P23945	premature ovarian failure
Follicle-stimulating hormone receptor	P23945	ovarian hyperstimulation syndrome
Follicle-stimulating hormone receptor	P23945	infertility
Follicle-stimulating hormone receptor	P23945	polycystic ovary syndrome
Free fatty acid receptor 1	O14842	diabetes mellitus
G protein-activated inward rectifier potassium channel 2	P48051	Down syndrome
G protein-activated inward rectifier potassium channel 4	P48544	adenoma
G protein-activated inward rectifier potassium channel 4	P48544	Conn's syndrome
G protein-activated inward rectifier potassium channel 4	P48544	hyperaldosteronism
G-protein coupled receptor 126	Q86SQ4	idiopathic scoliosis
G-protein coupled receptor 143	P51810	congenital nystagmus
Gamma-aminobutyric acid receptor subunit alpha-2	P47869	alcohol dependence
Gamma-aminobutyric acid receptor subunit alpha-5	P31644	Angelman syndrome
Gamma-aminobutyric acid receptor subunit alpha-5	P31644	Prader-Willi syndrome
Gamma-aminobutyric acid receptor subunit beta-3	P28472	autistic disorder
Gamma-aminobutyric acid receptor subunit beta-3	P28472	Angelman syndrome
Gamma-aminobutyric acid receptor subunit beta-3	P28472	Prader-Willi syndrome
Gamma-aminobutyric acid receptor subunit delta	O14764	chromosome 1p36 deletion syndrome
Gastrin/cholecystokinin type B receptor	P32239	panic disorder
Glucagon-like peptide 1 receptor	P43220	diabetes mellitus
Glucagon-like peptide 1 receptor	P43220	hypoglycemia
Glucagon-like peptide 2 receptor	O95838	short bowel syndrome
Glucocorticoid receptor	P04150	Cushing's syndrome
Glucocorticoid receptor	P04150	asthma
Glucocorticoid receptor	P04150	post-traumatic stress disorder
Glucokinase	P35557	hyperglycemia
Glutamate receptor 1	P42261	schizophrenia
Glutamate receptor ionotropic, NMDA 2A	Q12879	schizophrenia
Glutamate receptor ionotropic, NMDA 2A	Q12879	toxic encephalopathy
Glutamate receptor ionotropic, nmda 2b	Q13224	toxic encephalopathy
Glutamate receptor ionotropic, nmda 2b	Q13224	schizophrenia
Glycerol kinase	P32189	glycerol kinase deficiency
Glycerol kinase 3	Q14409	glycerol kinase deficiency
Gonadotropin-releasing hormone receptor	P30968	hypogonadism
Growth hormone secretagogue receptor type 1	Q92847	gastroparesis
H(+)/cl(-) exchange transporter 4	P51793	Dent disease
H(+)/cl(-) exchange transporter 5	P51795	calcinosis
H(+)/cl(-) exchange transporter 5	P51795	kidney disease
H(+)/cl(-) exchange transporter 5	P51795	rickets
Heat-stable enterotoxin receptor	P25092	colorectal cancer
Hepatocyte nuclear factor 4-alpha	P41235	maturity-onset diabetes of the young
Hepatocyte nuclear factor 4-alpha	P41235	cancer
Hexokinase-1	P19367	attention deficit hyperactivity disorder
High affinity nerve growth factor receptor	P04629	anhidrosis
High affinity nerve growth factor receptor	P04629	obsolete peripheral neuropathy
Histamine H1 receptor	P35367	urticaria
Histamine H1 receptor	P35367	allergic rhinitis
Histamine h2 receptor	P25021	duodenal ulcer
Histamine h2 receptor	P25021	esophagitis
Histamine h2 receptor	P25021	Zollinger-Ellison syndrome
Inactive tyrosine-protein kinase 7	Q13308	panic disorder
Insulin-like growth factor 1 receptor	P08069	cancer
Inward rectifier potassium channel 13	O60928	vitreous syneresis
Inward rectifier potassium channel 16	Q9NPI9	EAST syndrome
Inward rectifier potassium channel 2	P63252	hypokalemic periodic paralysis
Kappa-type opioid receptor	P41145	pain agnosia
Kiss-1 receptor	Q969F8	hypogonadism
Latrophilin-3	Q9HAR2	attention deficit hyperactivity disorder
Leucine-rich repeat serine/threonine-protein kinase 2	Q5S007	movement disease
Lutropin-choriogonadotropic hormone receptor	P22888	pseudohermaphroditism
Lutropin-choriogonadotropic hormone receptor	P22888	McCune Albright syndrome
Lymphokine-activated killer t-cell-originated protein kinase	Q96KB5	bullous keratopathy
Mast/stem cell growth factor receptor kit	P10721	mastocytosis
Melanin-concentrating hormone receptor 1	Q99705	obesity
Melanocortin receptor 3	P41968	tricuspid valve insufficiency
Melanocortin receptor 3	P41968	obesity
Melanocyte-stimulating hormone receptor	Q01726	melanoma
Melanocyte-stimulating hormone receptor	Q01726	skin cancer
Melanopsin	Q9UHM6	seasonal affective disorder
Melatonin receptor type 1b	P49286	idiopathic scoliosis
Metabotropic glutamate receptor 2	Q14416	schizophrenia
Metabotropic glutamate receptor 3	Q14832	schizophrenia
Metabotropic glutamate receptor 5	P41594	Parkinson's disease
Metabotropic glutamate receptor 5	P41594	fragile X syndrome
Metabotropic glutamate receptor 5	P41594	schizophrenia
Metabotropic glutamate receptor 5	P41594	autistic disorder
Metabotropic glutamate receptor 6	O15303	night blindness
Mevalonate kinase	Q03426	familial Mediterranean fever
Mineralocorticoid receptor	P08235	hyperaldosteronism
Mineralocorticoid receptor	P08235	Conn's syndrome
Mineralocorticoid receptor	P08235	kidney disease
Mineralocorticoid receptor	P08235	hypertension
Mitogen-activated protein kinase 1	P28482	cancer
Mitogen-activated protein kinase 3	P27361	cancer
Mitogen-activated protein kinase 3	P27361	vascular disease
Mitogen-activated protein kinase 8	P45983	cancer
Mitogen-activated protein kinase 8	P45983	vascular disease
Motilin receptor	O43193	gastroparesis
Motilin receptor	O43193	functional gastric disease
Mu-type opioid receptor	P35372	opiate dependence
Mu-type opioid receptor	P35372	pain agnosia
Mu-type opioid receptor	P35372	alcohol dependence
Mucolipin-2	Q8IZK6	gangliosidosis
Mucolipin-3	Q8TDD5	gangliosidosis
Muscarinic acetylcholine receptor m2	P08172	schistosomiasis
Muscarinic acetylcholine receptor m3	P20309	nephrolithiasis
Muscle, skeletal receptor tyrosine-protein kinase	O15146	thymoma
Muscle, skeletal receptor tyrosine-protein kinase	O15146	Lambert-Eaton myasthenic syndrome
Myosin light chain kinase, smooth muscle	Q15746	primary cutaneous amyloidosis
Myotonin-protein kinase	Q09013	muscular dystrophy
NAD kinase 2, mitochondrial	Q4G0N4	hyperlysinemia
Neuronal acetylcholine receptor subunit alpha-3	P32297	nicotine dependence
Neuronal acetylcholine receptor subunit alpha-4	P43681	schizophrenia
Neuronal acetylcholine receptor subunit alpha-4	P43681	Alzheimer's disease
Neuronal acetylcholine receptor subunit alpha-4	P43681	nicotine dependence
Neuronal acetylcholine receptor subunit alpha-6	Q15825	nicotine dependence
Neuronal acetylcholine receptor subunit alpha-7	P36544	chromosome 15q13.3 microdeletion syndrome
Neuronal acetylcholine receptor subunit alpha-7	P36544	schizophrenia
Neuronal acetylcholine receptor subunit beta-2	P17787	nicotine dependence
Neuronal acetylcholine receptor subunit beta-3	Q05901	nicotine dependence
Neuronal acetylcholine receptor subunit beta-4	P30926	nicotine dependence
Neuropeptide S receptor	Q6W5P4	panic disorder
Nf-kappa-b essential modulator	Q9Y6K9	hypohidrotic ectodermal dysplasia
Nociceptin receptor	P41146	pain agnosia
Nuclear receptor subfamily 0 group b member 1	P51843	chromosome Xp21 deletion syndrome
Nuclear receptor subfamily 0 group b member 1	P51843	hemiplegia
Nuclear receptor subfamily 0 group b member 1	P51843	Klinefelter's syndrome
Nuclear receptor subfamily 0 group b member 1	P51843	glycerol kinase deficiency
Nuclear receptor subfamily 0 group b member 1	P51843	hypogonadism
Nuclear receptor subfamily 0 group b member 2	Q15466	hemopneumothorax
Nuclear receptor subfamily 0 group b member 2	Q15466	secondary hyperparathyroidism
Nuclear receptor subfamily 1 group i member 2	O75469	cholestasis
Nuclear receptor subfamily 4 group a member 2	P43354	Parkinson's disease
Nuclear receptor subfamily 4 group a member 3	Q92570	chondrosarcoma
Nuclear receptor subfamily 5 group a member 2	O00482	Leydig cell tumor
Nucleoside diphosphate kinase A	P15531	cancer
Nucleoside diphosphate kinase B	P22392	interstitial cystitis
Olfactory receptor 2AG1	Q9H205	hereditary hemorrhagic telangiectasia
Orexin receptor type 1	O43613	narcolepsy
Orexin receptor type 2	O43614	narcolepsy
Oxytocin receptor	P30559	autistic disorder
P2x purinoceptor 3	P56373	interstitial cystitis
P2y purinoceptor 12	Q9H244	cerebrovascular disease
P2y purinoceptor 12	Q9H244	coronary artery disease
Pantothenate kinase 1	Q8TE04	pantothenate kinase-associated neurodegeneration
Pantothenate kinase 2, mitochondrial	Q9BZ23	dystonia
Parathyroid hormone/parathyroid hormone-related peptide receptor	Q03431	Maffucci syndrome
Parathyroid hormone/parathyroid hormone-related peptide receptor	Q03431	Ollier disease
Parathyroid hormone/parathyroid hormone-related peptide receptor	Q03431	heart cancer
Parathyroid hormone/parathyroid hormone-related peptide receptor	Q03431	metaphyseal dysplasia
Peroxisome proliferator-activated receptor alpha	Q07869	metabolic syndrome X
Peroxisome proliferator-activated receptor alpha	Q07869	obesity
Peroxisome proliferator-activated receptor alpha	Q07869	diabetes mellitus
Peroxisome proliferator-activated receptor alpha	Q07869	lipid metabolism disorder
Peroxisome proliferator-activated receptor alpha	Q07869	atherosclerosis
Peroxisome proliferator-activated receptor gamma	P37231	lipid metabolism disorder
Peroxisome proliferator-activated receptor gamma	P37231	fatty liver disease
Peroxisome proliferator-activated receptor gamma	P37231	atherosclerosis
Peroxisome proliferator-activated receptor gamma	P37231	lipodystrophy
Peroxisome proliferator-activated receptor gamma	P37231	cancer
Peroxisome proliferator-activated receptor gamma	P37231	hypertension
Peroxisome proliferator-activated receptor gamma	P37231	hyperglycemia
Peroxisome proliferator-activated receptor gamma	P37231	metabolic syndrome X
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	O00329	schizophrenia
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha	O00443	myopathy
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha	O00443	malignant hyperthermia
