[label]	uniprot	tissue_label
5'-AMP-activated protein kinase subunit gamma-1	P54619	brain
5-hydroxytryptamine receptor 1a	P08908	neuron
5-hydroxytryptamine receptor 1a	P08908	ganglion
5-hydroxytryptamine receptor 1b	P28222	ganglion
5-hydroxytryptamine receptor 1b	P28222	brain
5-hydroxytryptamine receptor 1b	P28222	nerve
5-hydroxytryptamine receptor 2A	P28223	ganglion
5-hydroxytryptamine receptor 2c	P28335	ganglion
5-hydroxytryptamine receptor 3A	P46098	nerve
5-hydroxytryptamine receptor 3A	P46098	N1E-115 cell
5-hydroxytryptamine receptor 3A	P46098	intestine
5-hydroxytryptamine receptor 3A	P46098	brain
5-hydroxytryptamine receptor 3A	P46098	NG-108-15 cell
5-hydroxytryptamine receptor 3A	P46098	ganglion
5-hydroxytryptamine receptor 4	Q13639	myenteric plexus
5-hydroxytryptamine receptor 7	P34969	nerve
5-hydroxytryptamine receptor 7	P34969	intestine
5-hydroxytryptamine receptor 7	P34969	muscle
5-hydroxytryptamine receptor 7	P34969	myenteric plexus
5-hydroxytryptamine receptor 7	P34969	artery
5-hydroxytryptamine receptor 7	P34969	blood
5-hydroxytryptamine receptor 7	P34969	spinal cord
5-hydroxytryptamine receptor 7	P34969	ganglion
ATP-dependent 6-phosphofructokinase, muscle type	P08237	heart
ATP-dependent 6-phosphofructokinase, muscle type	P08237	skeletal muscle
ATP-dependent 6-phosphofructokinase, muscle type	P08237	lung
ATP-dependent 6-phosphofructokinase, platelet type	Q01813	lung
ATP-dependent 6-phosphofructokinase, platelet type	Q01813	kidney
ATP-dependent 6-phosphofructokinase, platelet type	Q01813	eye
ATP-sensitive inward rectifier potassium channel 1	P48048	oocyte
ATP-sensitive inward rectifier potassium channel 10	P78508	stria vascularis
ATP-sensitive inward rectifier potassium channel 10	P78508	spinal cord
ATP-sensitive inward rectifier potassium channel 11	Q14654	pancreatic beta cell
Acetylcholine receptor subunit gamma	P07510	pterygium
Acid-sensing ion channel 3	Q9UHC3	spinal ganglion
Acid-sensing ion channel 3	Q9UHC3	peripheral nerve
Activin receptor type-1	Q04771	hallux
Adenosine kinase	P55263	brain
Adenosine receptor a2a	P29274	ganglion
Adenylate kinase 2, mitochondrial	P54819	lung
Adenylate kinase 2, mitochondrial	P54819	kidney
Adenylate kinase 2, mitochondrial	P54819	skin
Adenylate kinase 4, mitochondrial	P27144	kidney
Adenylate kinase isoenzyme 1	P00568	brain
Adenylate kinase isoenzyme 1	P00568	muscle
Adhesion G protein-coupled receptor A3	Q8IWK6	spermatogonium
Adhesion G protein-coupled receptor A3	Q8IWK6	brain
Alk tyrosine kinase receptor	Q9UM73	immune system
Alk tyrosine kinase receptor	Q9UM73	blood
Alk tyrosine kinase receptor	Q9UM73	myofibroblast
Alk tyrosine kinase receptor	Q9UM73	anaplastic large cell lymphoma cell
Alk tyrosine kinase receptor	Q9UM73	lung
Alk tyrosine kinase receptor	Q9UM73	anaplastic large cell lymphoma cell line
Androgen receptor	P10275	breast
Androgen receptor	P10275	DU-145 cell
Androgen receptor	P10275	seminal vesicle
Androgen receptor	P10275	PC-3 cell
Androgen receptor	P10275	Leydig cell
Androgen receptor	P10275	Sertoli cell
Angiopoietin-1 receptor	Q02763	heart
Angiopoietin-1 receptor	Q02763	vasculature
Angiopoietin-1 receptor	Q02763	blood vessel
Anoctamin-1	Q5XXA6	interstitial cell
Apelin receptor	P35414	placenta
Atp-dependent 6-phosphofructokinase, liver type	P17858	testis
